cell_type,tissue,deg_set,overlap,markers_total,deg_total,odds_ratio,p_value,pct_markers_in_deg,p_adjust,significant,neg_log10_p
Cluster_12,leaf,leaf_cond_down,11,100,817,3.201828979284579,0.0013109278148426384,11.0,0.007574249596868578,True,2.1206603875230012
Cluster_2,leaf,leaf_cond_down,9,100,817,2.5555162659123054,0.012813682244115379,9.0,0.05402525486708106,True,1.2674031756320263
Cluster_3,leaf,leaf_cond_down,11,100,817,3.201828979284579,0.0013109278148426384,11.0,0.007574249596868578,True,2.1206603875230012
Cluster_4,leaf,leaf_cond_down,4,100,817,1.0697519475194752,0.5195673473354734,4.0,1.0,False,-0.0
Cluster_5,leaf,leaf_cond_down,1,100,817,0.25834323628441275,0.9783147008284994,1.0,1.0,False,-0.0
Cluster_6,leaf,leaf_cond_down,1,100,817,0.25834323628441275,0.9783147008284994,1.0,1.0,False,-0.0
Cluster_7,leaf,leaf_cond_down,9,100,817,2.5555162659123054,0.012813682244115379,9.0,0.05402525486708106,True,1.2674031756320263
Cluster_8,leaf,leaf_cond_down,8,100,817,2.243994195732789,0.03429040582300462,8.0,0.12736436448544575,False,0.8949520670728923
Cluster_9,leaf,leaf_cond_down,2,100,817,0.5226242644296982,0.8934230409189832,2.0,1.0,False,-0.0
Cluster_0,leaf,leaf_int_up,47,100,2728,6.286270259618701,2.5393651280813363e-17,47.0,1.3204698666022948e-15,True,14.879271505034614
Cluster_1,leaf,leaf_int_up,21,100,2728,1.8637054425236026,0.011406061269716465,21.0,0.05233369288458142,True,1.281218618541258
Cluster_10,leaf,leaf_int_up,17,100,2728,1.4335838373782848,0.1165915407440721,17.0,0.3368200065939861,False,0.47260211997727114
Cluster_11,leaf,leaf_int_up,30,100,2728,3.016202478026051,2.9453184226760218e-06,30.0,3.828913949478828e-05,True,4.416924393821141
Cluster_12,leaf,leaf_int_up,2,100,2728,0.14194379145642116,0.9999769314542112,2.0,1.0,False,-0.0
