"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","deg_set"
"Metabolism","Biosynthesis of other secondary metabolites","sly00960","Tropane, piperidine and pyridine alkaloid biosynthesis","2/6","40/11892",0.05,99.1,13.9627233564887,0.000164073506560471,0.00147666155904424,0.00017270895427418,"101254319/101245061",2,"root_cond_Epidermis_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00940","Phenylpropanoid biosynthesis","2/6","179/11892",0.0111731843575419,22.145251396648,6.40430856593042,0.00324784836589364,0.0146153176465214,0.00170939387678613,"101264739/101249975",2,"root_cond_Epidermis_up"
"Metabolism","Metabolism of cofactors and vitamins","sly00730","Thiamine metabolism","1/6","23/11892",0.0434782608695652,86.1739130434783,9.18608384024791,0.0115508916391601,0.0338495152743616,0.00395900763442825,"104644459",1,"root_cond_Epidermis_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00950","Isoquinoline alkaloid biosynthesis","1/6","30/11892",0.0333333333333333,66.0666666666667,8.01691313428197,0.0150442290108274,0.0338495152743616,0.00395900763442825,"101254319",1,"root_cond_Epidermis_up"
"Metabolism","Amino acid metabolism","sly00350","Tyrosine metabolism","1/6","53/11892",0.0188679245283019,37.3962264150943,5.9662814180891,0.0264499866580549,0.0375058962517758,0.00438665453237144,"101254319",1,"root_cond_Epidermis_up"
"Metabolism","Amino acid metabolism","sly00360","Phenylalanine metabolism","1/6","60/11892",0.0166666666666667,33.0333333333333,5.58876218084664,0.0298993758726276,0.0375058962517758,0.00438665453237144,"101254319",1,"root_cond_Epidermis_up"
"Metabolism","Metabolism of other amino acids","sly00410","beta-Alanine metabolism","1/6","60/11892",0.0166666666666667,33.0333333333333,5.58876218084664,0.0298993758726276,0.0375058962517758,0.00438665453237144,"101254319",1,"root_cond_Epidermis_up"
"Metabolism","Amino acid metabolism","sly00260","Glycine, serine and threonine metabolism","1/6","67/11892",0.0149253731343284,29.5820895522388,5.27105750289472,0.033338574446023,0.0375058962517758,0.00438665453237144,"101254319",1,"root_cond_Epidermis_up"
"Cellular Processes","Transport and catabolism","sly04144","Endocytosis","1/6","167/11892",0.00598802395209581,11.8682634730539,3.17781726258966,0.0813715310783745,0.0813715310783745,0.00951713813782157,"101268402",1,"root_cond_Epidermis_up"
"Environmental Information Processing","Signal transduction","sly04075","Plant hormone signal transduction","2/3","437/11892",0.0045766590389016,18.141876430206,5.79960860036638,0.00394359253568002,0.0118307776070401,NA,"101244003/101267730",2,"root_cond_Exodermis_down"
"Metabolism","Biosynthesis of other secondary metabolites","sly00941","Flavonoid biosynthesis","1/3","37/11892",0.027027027027027,107.135135135135,10.2708506345144,0.00930577508103247,0.0139586626215487,NA,"101266223",1,"root_cond_Exodermis_down"
"Environmental Information Processing","Signal transduction","sly04016","MAPK signaling pathway - plant","1/3","193/11892",0.00518134715025907,20.5388601036269,4.34711031043269,0.0479062513239517,0.0479062513239517,NA,"101244003",1,"root_cond_Exodermis_down"
"Metabolism","Biosynthesis of other secondary metabolites","sly00940","Phenylpropanoid biosynthesis","5/12","179/11892",0.0279329608938547,27.6815642458101,11.4312921255434,5.31292217720403e-07,5.31292217720403e-06,3.91478476215034e-06,"101244668/101266746/101249975/101246070/101244376",5,"root_cond_Exodermis_up"
"Metabolism","Lipid metabolism","sly00591","Linoleic acid metabolism","1/12","18/11892",0.0555555555555556,55.0555555555556,7.29406547919271,0.0180212890542661,0.0901064452713307,0.0663942228315068,"101263535",1,"root_cond_Exodermis_up"
"Environmental Information Processing","Signal transduction","sly04016","MAPK signaling pathway - plant","1/1","193/11892",0.00518134715025907,61.6165803108808,7.78566505257456,0.0162293979145641,0.0324587958291283,NA,"101244003",1,"root_cond_Meristematic_Cortex_down"
"Environmental Information Processing","Signal transduction","sly04075","Plant hormone signal transduction","1/1","437/11892",0.0022883295194508,27.2128146453089,5.11984517786514,0.0367473932055162,0.0367473932055162,NA,"101244003",1,"root_cond_Meristematic_Cortex_down"
"Metabolism","Biosynthesis of other secondary metabolites","sly00960","Tropane, piperidine and pyridine alkaloid biosynthesis","2/6","40/11892",0.05,99.1,13.9627233564887,0.000164073506560471,0.00164073506560471,0.00034541790854836,"101254319/101245061",2,"root_cond_Meristematic_Cortex_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00940","Phenylpropanoid biosynthesis","2/6","179/11892",0.0111731843575419,22.145251396648,6.40430856593042,0.00324784836589364,0.0162392418294682,0.00341878775357226,"101267763/101249975",2,"root_cond_Meristematic_Cortex_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00950","Isoquinoline alkaloid biosynthesis","1/6","30/11892",0.0333333333333333,66.0666666666667,8.01691313428197,0.0150442290108274,0.0416732180575287,0.00877330906474288,"101254319",1,"root_cond_Meristematic_Cortex_up"
"Metabolism","Amino acid metabolism","sly00400","Phenylalanine, tyrosine and tryptophan biosynthesis","1/6","49/11892",0.0204081632653061,40.4489795918367,6.21684301884373,0.024474322427809,0.0416732180575287,0.00877330906474288,"101251350",1,"root_cond_Meristematic_Cortex_up"
"Metabolism","Amino acid metabolism","sly00350","Tyrosine metabolism","1/6","53/11892",0.0188679245283019,37.3962264150943,5.9662814180891,0.0264499866580549,0.0416732180575287,0.00877330906474288,"101254319",1,"root_cond_Meristematic_Cortex_up"
"Metabolism","Amino acid metabolism","sly00360","Phenylalanine metabolism","1/6","60/11892",0.0166666666666667,33.0333333333333,5.58876218084664,0.0298993758726276,0.0416732180575287,0.00877330906474288,"101254319",1,"root_cond_Meristematic_Cortex_up"
"Metabolism","Metabolism of other amino acids","sly00410","beta-Alanine metabolism","1/6","60/11892",0.0166666666666667,33.0333333333333,5.58876218084664,0.0298993758726276,0.0416732180575287,0.00877330906474288,"101254319",1,"root_cond_Meristematic_Cortex_up"
"Metabolism","Amino acid metabolism","sly00260","Glycine, serine and threonine metabolism","1/6","67/11892",0.0149253731343284,29.5820895522388,5.27105750289472,0.033338574446023,0.0416732180575287,0.00877330906474288,"101254319",1,"root_cond_Meristematic_Cortex_up"
"Cellular Processes","Transport and catabolism","sly04144","Endocytosis","1/6","167/11892",0.00598802395209581,11.8682634730539,3.17781726258966,0.0813715310783745,0.090412812309305,0.0190342762756432,"101268402",1,"root_cond_Meristematic_Cortex_up"
